,0
4,">>195568870
Instead brother war maybe we should try kill jews, niggers and shitskins"
15,">>195483852
wrong board
we dont suicide
we kill niggers and jews"
40,">>195326013
>Antifa: lets kill all cis white males"
49,">>195266884
Even though the villains in real life are always Jews and niggers.
Fantastic, oh Jew you guys are so clever. Enjoy it while it lasts before we kill you."
59,">>195196020
>f I could kill a Jew and get away with it I would even if it's one of the children
HECK YEAH MAN YOU GOT TO STEP UP!
fag!"
80,">>195009160
Can't we just kill all the Jews in US?"
85,">>194969802
>jesus jesus jesus jesus
>okay, let's kill them off for protecting their people against outsider invaders!
Typical tricks, semite. You shills are the ones that keep bringing up him being a christian as one reason to kill them all off.
The simple fact is that a retard went to a place where he was told not to go because it was the Sentinelese and he died for not listening while trying to shove his religion in their faces, just like you shills are doing with your kvetching about muh anti-christianity when you're using it as a a supplemental reason to attack them. You fucking jews pushing interventionalist punishment for everyone because of one person is entirely jewish.
You fuck off, you fucking little sniveling faggot jew whining for revenge against your based jesus preacher who wouldn't listen to people who wanted to have their lands not be invaded. People who protect their homes are heroes, and are the type everyone should replicate."
101,">>194810213
No one gives a fuck about your politics kike. I plan to kill ALL Jews."
121,">>194707528
OP, please stick around in general. Your clarity is much appreciated by the few among us who rise above being typical 4chan NPC niggers who can’t conprehend that they’re just right wing NPC niggers.
>Shill!
>Jew!
>We’ll gas you soon!
>How dare you equate us to violent niggers, we’ll kill you for that!
>Hypocrisy is ok because Jews do it too!"
131,">>785856763
can't we just kill all jews now?"
135,">>194659803
Im 38 and blackpilled as fuck. I just want to shut down the power and internet and kill Jews"
